layer,id,esa_canopy
esa_tree_tranfid_1_7b275a3b_d131_49b9_8d46_7ad051cc899a,"1","71484"
esa_tree_tranfid_10,"12","38998"
esa_tree_tranfid_11,"13","49139"
esa_tree_tranfid_12,"14","76366"
esa_tree_tranfid_13,"15","96822"
esa_tree_tranfid_14,"17","79953"
esa_tree_tranfid_15,"18","33799"
esa_tree_tranfid_16,"20","24339"
esa_tree_tranfid_17,"19","76173"
esa_tree_tranfid_18,"22","4220"
esa_tree_tranfid_19,"21","47611"
esa_tree_tranfid_2,"4","49013"
esa_tree_tranfid_20,"16","30246"
esa_tree_tranfid_21,"2","34031"
esa_tree_tranfid_22,"11","7130"
esa_tree_tranfid_3,"3","65805"
esa_tree_tranfid_4,"6","47161"
esa_tree_tranfid_5,"5","100179"
esa_tree_tranfid_6,"8","99182"
esa_tree_tranfid_7,"7","41542"
esa_tree_tranfid_8,"9","34204"
esa_tree_tranfid_9,"10","110667"
